|activity_type|actor|actor_device_id|actor_displayname|actor_id|actor_objecttype|actor_system|actor_team|actor_url|added_date|change value1|criticality|derivedfrom|description|descriptor-tags|endtime|excerpt|excerpttagsurl|id|idverb|location|object_actor|object_address|object_datafields|object_descriptor-tags|object_descriptor_tags|object_displayname|object_id|object_object|object_objecttype|object_position|object_provider|object_published|object_title|object_url|object_verb|provenance_actor|provenance_relationship|provider_displayname|published|reason|reasonobject_object|starttime|status|subverb|system|system_id|tags|tagsurl|target_displayname|target_id|target_objecttype|target_url|time|timestamp|title|titleexcerpttagsurl|titleexcerpttagsurladded_date|url|value|value1|value1_type|value2|value2_type|value3|value3_type|value4|value4_type|value5|value5_type|value_type|verb
234|pocket|||||||||April 03, 2015 at 08:59AM|||||||Iceland is proving to the world that even bankers aren't above the law after jailing four of the top banks. Iceland has jailed four bankers for market manipulation in a landmark case which sets a precedent for the rest of the world.|||||||||||||||||||||||||||||||iot|||||||Fri 3 Apr 2015 16:03:23 GMT +0|Iceland Jails Four Top Bankers for Fraud in Landmark Case|||http://ift.tt/1IvfKQ0|||||||||||||
235| weather value_type = fahrenheit value = 55||||||||||||||||||||||||||||||||||||||||||||||||||||||Fri 3 Apr 2015 17:52:03 GMT +0|||| http://ift.tt/Ja6u9Z||||| weather value2 = Fair||||||||
236|pocket|||||||||April 03, 2015 at 11:48AM|||||||Even as some look to the ocean as the ultimate solution to California?s drought, cost and coastal environmental issues have held back all but a handful of ocean desalination projects.|||||||||||||||||||||||||||||||iot|||||||Fri 3 Apr 2015 18:57:30 GMT +0|An Answer to Drought: A California County Desalination Plant Doesn?t Use Ocean Water|||http://ift.tt/1J0SfPr|||||||||||||
237| weather||||||||||||||||||||||||||||||||||||||||||||||||||||||Fri 3 Apr 2015 19:23:34 GMT +0|||| http://ift.tt/Ja6u9Z| 61||||||||||| fahrenheit|
238| sunset||||||||||||||||||||||||||||||||||||||||||||||||||||||Sat 4 Apr 2015 02:36:24 GMT +0|||| http://ift.tt/Ja6u9Z| April 03, 2015 at 10:32PM||||||||||| time|
239| weather value_type = fahrenheit value = 62||||||||||||||||||||||||||||||||||||||||||||||||||||||Sat 4 Apr 2015 02:52:48 GMT +0|||| http://ift.tt/Ja6u9Z||||| weather value2 = Fair||||||||
240|iss|||||||||||||Whenever the ISS flies over UC Berkeley, this record is generated.|||||||||||||||||||||||||||||||||||||||||Sat 4 Apr 2015 02:53:24 GMT +0|||||April 03, 2015 at 08:19PM|||||||||||time|
241|iss|||||||||||||Whenever the ISS flies over UC Berkeley, this record is generated.|||||||||||||||||||||||||||||||||||||||||Sat 4 Apr 2015 04:34:58 GMT +0|||||April 03, 2015 at 09:55PM|||||||||||time|
242|iss|||||||||||||Whenever the ISS flies over UC Berkeley, this record is generated.|||||||||||||||||||||||||||||||||||||||||Sat 4 Apr 2015 06:08:26 GMT +0|||||April 03, 2015 at 11:33PM|||||||||||time|
243|iss|||||||||||||Whenever the ISS flies over UC Berkeley, this record is generated.|||||||||||||||||||||||||||||||||||||||||Sat 4 Apr 2015 07:54:18 GMT +0|||||April 04, 2015 at 01:10AM|||||||||||time|
244| weather||||||||||||||||||||||||||||||||||||||||||||||||||||||Sat 4 Apr 2015 08:57:03 GMT +0|||| http://ift.tt/Ja6u9Z| 48||||||||||| fahrenheit|
245|iss|||||||||||||Whenever the ISS flies over UC Berkeley, this record is generated.|||||||||||||||||||||||||||||||||||||||||Sat 4 Apr 2015 09:28:33 GMT +0|||||April 04, 2015 at 02:47AM|||||||||||time|
246|iss|||||||||||||Whenever the ISS flies over UC Berkeley, this record is generated.|||||||||||||||||||||||||||||||||||||||||Sat 4 Apr 2015 11:04:12 GMT +0|||||April 04, 2015 at 04:23AM|||||||||||time|
247| weather||||||||||||||||||||||||||||||||||||||||||||||||||||||Sat 4 Apr 2015 19:14:19 GMT +0|||| http://ift.tt/Ja6u9Z| 62||||||||||| fahrenheit|
248|iss|||||||||||||Whenever the ISS flies over UC Berkeley, this record is generated.|||||||||||||||||||||||||||||||||||||||||Sun 5 Apr 2015 02:07:22 GMT +0|||||April 04, 2015 at 07:26PM|||||||||||time|
249| sunset||||||||||||||||||||||||||||||||||||||||||||||||||||||Sun 5 Apr 2015 02:38:09 GMT +0|||| http://ift.tt/Ja6u9Z| April 04, 2015 at 10:34PM||||||||||| time|
250|iss|||||||||||||Whenever the ISS flies over UC Berkeley, this record is generated.|||||||||||||||||||||||||||||||||||||||||Sun 5 Apr 2015 03:43:53 GMT +0|||||April 04, 2015 at 09:01PM|||||||||||time|
251|iss|||||||||||||Whenever the ISS flies over UC Berkeley, this record is generated.|||||||||||||||||||||||||||||||||||||||||Sun 5 Apr 2015 05:17:21 GMT +0|||||April 04, 2015 at 10:39PM|||||||||||time|
252|iss|||||||||||||Whenever the ISS flies over UC Berkeley, this record is generated.|||||||||||||||||||||||||||||||||||||||||Sun 5 Apr 2015 06:52:09 GMT +0|||||April 05, 2015 at 12:17AM|||||||||||time|
